Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,75,0,270,323.43177379419404,149.33641208335757,858.6166959721595,18490.0,0.4180170231356151,0.0,270,310,340,350,440,830,840,860,860,860,860
GET,GET /,5320,0,130,180.97094887612857,26.902831974439323,1466.3002919405699,18490.0,29.6513408410863,0.0,130,180,210,240,340,550,820,880,1200,1500,1500
GET,GET /api/v1/,1522,1522,21,37.4522280502078,6.891594966873527,307.0880339946598,74.0,8.482958789498749,8.482958789498749,21,35,50,59,88,120,150,180,300,310,310
GET,GET /api/v1/docs/,1061,1061,91,106.15283177865355,8.706116932444274,555.5440710159019,21.0,5.913547487291835,5.913547487291835,91,120,130,150,190,230,270,310,440,560,560
GET,GET /healthz,512,0,17,32.58683411104357,5.752459052018821,256.18683092761785,16.0,2.8536628779391324,0.0,18,31,41,51,73,100,150,170,260,260,260
POST,POST /compress/,2849,0,150,171.84521528615502,30.3841270506382,723.4684439608827,0.0,15.879073318844899,0.0,150,190,220,240,300,370,450,520,710,720,720
POST,POST /upload/,2857,0,310,431.89331049617545,83.23399000801146,3103.7402560468763,45032.92544627231,15.923661801312697,0.0,310,390,440,490,660,1400,2300,2500,2900,3100,3100
,Aggregated,14196,2583,140,204.0605763713595,5.752459052018821,3103.7402560468763,16100.008382642998,79.12226213910922,14.396506276790584,140,200,250,280,400,550,850,1400,2600,3000,3100
