Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/v1/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/'),757,2026-05-12T21:16:18Z,2026-05-12T21:19:07Z
GET,GET /api/v1/docs/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/docs/'),524,2026-05-12T21:16:18Z,2026-05-12T21:19:07Z
