Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/v1/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/'),81,2026-05-12T21:07:01Z,2026-05-12T21:08:31Z
GET,GET /api/v1/docs/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/docs/'),53,2026-05-12T21:06:59Z,2026-05-12T21:08:30Z
