Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,38,0,130,174.75046536664627,71.24590408056974,1029.534340952523,18490.0,0.21193217395038144,0.0,130,150,150,150,200,850,1000,1000,1000,1000,1000
GET,GET /,2693,0,46,55.28229962439735,27.965652057901025,1019.6721850661561,18490.0,15.019298538115189,0.0,46,56,65,70,91,110,140,150,220,1000,1000
GET,GET /api/v1/,793,759,11,18.07327702636202,6.918880972079933,807.6727270381525,84.33291298865069,4.422689840596118,4.2330663165352505,11,15,19,23,37,48,64,72,810,810,810
GET,GET /api/v1/docs/,539,513,37,45.12363158365978,11.977670015767217,158.18313497584313,244.291280148423,3.0060905726119893,2.861084348330149,37,47,53,59,76,93,110,120,160,160,160
GET,GET /healthz,276,0,10,19.336395326704867,6.004804978147149,785.5958860600367,16.0,1.5392968423764546,0.0,10,14,19,23,37,51,64,75,790,790,790
POST,POST /compress/,1605,0,54,63.991947553404884,30.204884009435773,273.8399209920317,0.0,8.951345768167426,0.0,54,67,77,84,110,130,160,180,230,270,270
POST,POST /upload/,1606,0,130,143.01145632768973,76.58226799685508,897.7547249523923,47771.083437110836,8.956922930639804,0.0,130,150,170,180,210,240,270,300,790,900,900
,Aggregated,7550,1272,52,70.44898231438243,6.004804978147149,1029.534340952523,16876.756953642383,42.10757666645736,7.094150664865399,52,76,97,110,140,170,210,240,380,1000,1000
