Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/v1/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/'),759,2026-05-12T21:21:26Z,2026-05-12T21:24:15Z
GET,GET /api/v1/docs/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/docs/'),513,2026-05-12T21:21:26Z,2026-05-12T21:24:14Z
