Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8,0,41,48.633111247909255,35.963169997558,74.53629595693201,18490.0,0.0671362790995703,0.0,43,60,61,61,75,75,75,75,75,75,75
GET,GET /,333,0,32,37.30430001219561,27.372561977244914,77.64631905592978,18490.0,2.7945476175196142,0.0,32,35,38,43,58,61,66,72,78,78,78
GET,GET /api/v1/,110,81,10,13.569964735176075,7.820717990398407,45.50359200220555,137.53636363636363,0.9231238376190918,0.6797548258831494,10,11,12,13,33,35,36,41,46,46,46
GET,GET /api/v1/docs/,67,53,27,31.249634052779694,9.027787949889898,66.52874907013029,988.2537313432836,0.5622663374589013,0.4447778490346533,27,28,31,37,50,57,65,67,67,67,67
GET,GET /healthz,30,0,9,11.310888982067505,7.086363970302045,32.33118704520166,16.0,0.25176104662338866,0.0,9,10,11,12,24,32,32,32,32,32,32
POST,POST /compress/,230,0,34,36.40565526236416,30.04998993128538,78.49068695213646,0.0,1.9301680241126464,0.0,34,36,37,38,43,48,65,76,78,78,78
POST,POST /upload/,230,0,89,94.33925979234198,74.33986605610698,244.02379302773625,38941.04782608696,1.9301680241126464,0.0,89,95,100,110,110,120,130,150,240,240,240
,Aggregated,1008,134,34,46.43697969096672,7.086363970302045,244.02379302773625,15221.580357142857,8.45917116654586,1.1245326749178026,34,42,64,81,90,110,120,120,150,240,240
