Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/v1/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/'),1522,2026-05-12T21:24:43Z,2026-05-12T21:27:43Z
GET,GET /api/v1/docs/,HTTPError('429 Client Error: Too Many Requests for url: GET /api/v1/docs/'),1061,2026-05-12T21:24:44Z,2026-05-12T21:27:43Z
