Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,38,0,91,93.40147618939609,54.177138954401016,151.36883198283613,18490.0,0.21193070631473027,0.0,93,100,110,110,110,120,150,150,150,150,150
GET,GET /,2722,727,34,38.07755830744076,15.279220999218524,193.60902498010546,14001.135562086702,15.180931120755151,4.054569039231813,34,39,44,48,59,72,87,99,150,190,190
GET,GET /api/v1/,787,787,11,16.72934745973878,6.905094021931291,169.92078500334173,74.0,4.389196470255071,4.389196470255071,11,15,19,22,35,42,55,66,170,170,170
GET,GET /api/v1/docs/,564,564,28,32.56207844902966,9.63360199239105,121.75789498724043,427.6595744680851,3.145497851618628,3.145497851618628,28,32,36,41,51,58,76,91,120,120,120
GET,GET /healthz,277,0,10,14.64456213017865,6.055784062482417,71.99363596737385,16.0,1.5448633065573758,0.0,10,12,15,18,31,43,53,66,72,72,72
POST,POST /compress/,1063,68,41,46.91204437751652,15.971197048202157,192.64425500296056,107.66133584195673,5.928482652962059,0.3792444218263594,41,48,54,59,71,80,96,100,190,190,190
POST,POST /upload/,1636,572,95,88.31319184777439,15.901017002761364,293.8552839914337,27173.005501222495,9.124174619234177,3.190114842421729,95,110,120,120,140,160,180,190,260,290,290
,Aggregated,7087,2718,35,47.57045396506793,6.055784062482417,293.8552839914337,11808.531395512911,39.52507672769719,15.158622625353601,35,46,59,74,100,120,140,160,230,290,290
