Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,38,0,95,98.40378089881453,62.281791935674846,129.53182798810303,18490.0,0.21194480158560966,0.0,96,110,120,120,130,130,130,130,130,130,130
GET,GET /,2734,0,37,43.27202234700787,26.787383947521448,906.2375950161368,18490.0,15.248870724606757,0.0,37,43,48,53,63,75,92,100,180,910,910
GET,GET /api/v1/,789,757,12,18.286150224454918,6.918894010595977,823.6688789911568,83.7743979721166,4.400643380290685,4.222163547376487,12,16,20,23,35,45,59,68,820,820,820
GET,GET /api/v1/docs/,552,524,30,36.01746917980642,8.168132975697517,186.5784159163013,255.80434782608697,3.0787771177699086,2.9226072639699856,30,35,40,44,55,70,86,90,190,190,190
GET,GET /healthz,256,0,11,15.092135626218806,5.886510014533997,63.90802701935172,16.0,1.427838663313581,0.0,11,14,17,19,32,40,53,60,64,64,64
POST,POST /compress/,1605,0,41,47.98973844730443,29.31259002070874,558.9622820261866,0.0,8.951879119602724,0.0,41,49,55,60,71,81,95,110,170,560,560
POST,POST /upload/,1607,0,110,116.06525397275915,74.1731550078839,801.4563219621778,47758.35034225265,8.96303410915986,0.0,110,120,130,140,150,170,190,220,330,800,800
,Aggregated,7581,1281,40,55.897434157457084,5.886510014533997,906.2375950161368,16912.458382799105,42.28298791632913,7.144770811346473,40,56,76,89,110,130,160,170,280,910,910
